epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8888,1.15584,3.74524,1.33197,0.00256,0.76923,0.00362,0.00196,0.86715,3.72793,1.22282,4e-05,4e-05,4e-05
2,18.2403,1.22917,3.73141,1.32683,0.00256,0.76923,0.00567,0.0032,0.7818,3.65326,1.12391,9.802e-05,9.802e-05,9.802e-05
3,20.4774,0.96438,3.43801,1.17756,0.00333,1,0.47916,0.44279,0.69361,3.16335,0.97541,0.000153664,0.000153664,0.000153664
4,22.3069,0.77753,2.96468,1.01579,0.00333,1,0.54422,0.46995,0.57753,3.00737,0.89871,0.000206932,0.000206932,0.000206932
5,24.2303,0.74386,2.46336,0.93421,0.00333,1,0.58572,0.44419,0.63962,2.9367,0.92083,0.000257824,0.000257824,0.000257824
6,26.0633,0.67577,2.07174,0.92695,0.00333,1,0.74871,0.59036,0.68901,2.87287,0.90901,0.00030634,0.00030634,0.00030634
7,27.963,0.74518,1.87936,0.93935,0.006,1,0.81567,0.66558,0.69424,2.74195,0.89923,0.00035248,0.00035248,0.00035248
8,29.9331,0.6546,1.49845,0.87306,0.40988,0.85514,0.84022,0.69951,0.69011,2.71864,0.90389,0.000396244,0.000396244,0.000396244
9,31.8145,0.66732,1.47796,0.94515,1,0.66974,0.79269,0.66156,0.71504,2.74318,0.94021,0.000437632,0.000437632,0.000437632
10,33.717,0.63451,1.40559,0.91376,1,0.59049,0.7774,0.64696,0.70729,2.77704,0.97091,0.000476644,0.000476644,0.000476644
11,35.6769,0.72383,1.30181,0.95383,1,0.547,0.75408,0.61165,0.79945,2.9361,1.05683,0.00051328,0.00051328,0.00051328
12,37.455,0.57982,1.31115,0.9182,0.8925,0.6404,0.75276,0.61556,0.7424,2.96497,1.04629,0.00054754,0.00054754,0.00054754
13,39.3723,0.64282,1.30038,0.95919,1,0.42669,0.81678,0.68733,0.65067,2.93554,0.94701,0.000579424,0.000579424,0.000579424
14,41.1722,0.6378,1.33564,0.9217,1,0.49576,0.80525,0.65585,0.70888,2.94426,0.95861,0.000608932,0.000608932,0.000608932
15,43.306,0.73075,1.48421,0.991,0.00333,1,0.7218,0.63624,0.66719,2.93411,0.93629,0.000636064,0.000636064,0.000636064
16,45.1449,0.65992,1.46498,0.98168,0.00561,1,0.65508,0.57608,0.66719,2.95453,0.92658,0.00066082,0.00066082,0.00066082
17,47.0875,0.6678,1.38727,0.92755,1,0.59251,0.69665,0.60251,0.69507,2.90574,0.92935,0.0006832,0.0006832,0.0006832
18,48.9083,0.5679,1.16661,0.91694,0.96664,0.61538,0.73192,0.62413,0.70924,2.90802,0.9646,0.000703204,0.000703204,0.000703204
19,50.7583,0.60547,1.18354,0.91233,1,0.41488,0.69824,0.60278,0.69312,2.91632,0.9807,0.000720832,0.000720832,0.000720832
20,52.5575,0.59703,1.12137,0.91231,1,0.48857,0.69582,0.61583,0.69553,2.93432,1.00394,0.000736084,0.000736084,0.000736084
21,54.5605,0.60794,1.12278,0.9013,1,0.57968,0.69911,0.61071,0.77573,2.88588,1.02391,0.00074896,0.00074896,0.00074896
22,56.4261,0.63216,1.2197,0.95266,0.94747,0.61538,0.69644,0.5977,0.80655,2.77352,1.00789,0.00075946,0.00075946,0.00075946
23,58.2497,0.55957,1.12376,0.9067,0.96148,0.61538,0.73309,0.61888,0.71172,2.67936,0.9665,0.000767584,0.000767584,0.000767584
24,60.0763,0.57128,1.22116,0.92211,0.9815,0.61538,0.78741,0.69259,0.67908,2.72525,0.94596,0.000773332,0.000773332,0.000773332
25,61.8605,0.58964,1.11132,0.92945,0.89044,0.6261,0.82853,0.7377,0.70319,2.67854,0.94292,0.000776704,0.000776704,0.000776704
26,63.6224,0.58849,1.09799,0.91579,0.99742,0.76923,0.84772,0.73987,0.70992,2.63224,0.94954,0.0007777,0.0007777,0.0007777
27,65.5364,0.59216,1.09083,0.90401,1,0.84603,0.88922,0.76944,0.67352,2.38909,0.93329,0.00077632,0.00077632,0.00077632
28,67.5818,0.69872,1.13887,0.98706,0.978,0.84615,0.93786,0.78533,0.65347,2.20012,0.92066,0.000772564,0.000772564,0.000772564
29,69.3659,0.53964,1.04055,0.90368,0.978,0.84615,0.93786,0.78533,0.65347,2.20012,0.92066,0.000766432,0.000766432,0.000766432
30,71.2361,0.59673,1.06207,0.94635,1,0.9163,0.995,0.81787,0.65361,2.10831,0.93663,0.000757924,0.000757924,0.000757924
31,72.9969,0.68548,1.0746,1.01024,0.98561,1,0.995,0.78949,0.76511,2.06877,0.98197,0.00074704,0.00074704,0.00074704
32,74.8367,0.64262,1.24148,0.9678,0.98205,1,0.995,0.79433,0.78542,1.92555,0.99339,0.00073378,0.00073378,0.00073378
33,76.475,0.61944,1.06567,0.89211,0.98205,1,0.995,0.79433,0.78542,1.92555,0.99339,0.000718144,0.000718144,0.000718144
34,78.1763,0.64123,1.08639,1.00537,1,0.99946,0.995,0.81058,0.73756,1.76617,0.96924,0.0006932,0.0006932,0.0006932
35,79.7012,0.61681,1.0128,0.9167,1,0.99516,0.995,0.83683,0.64533,1.68429,0.94963,0.0006536,0.0006536,0.0006536
36,81.336,0.57742,0.9794,0.91131,1,0.99506,0.995,0.81201,0.6437,1.61449,0.94938,0.000614,0.000614,0.000614
37,82.0837,0.54169,0.96937,0.87853,1,0.99506,0.995,0.81201,0.6437,1.61449,0.94938,0.0005744,0.0005744,0.0005744
38,82.7683,0.49849,0.90744,0.87134,1,0.99661,0.995,0.84175,0.62016,1.49211,0.93889,0.0005348,0.0005348,0.0005348
39,83.5145,0.53311,1.02461,0.9187,1,0.99719,0.995,0.83448,0.58296,1.38561,0.91968,0.0004952,0.0004952,0.0004952
40,84.2799,0.48863,0.88157,0.87514,1,0.99853,0.995,0.85428,0.5352,1.29722,0.90316,0.0004556,0.0004556,0.0004556
41,93.9124,0.41611,1.24706,0.85182,1,0.99853,0.995,0.85428,0.5352,1.29722,0.90316,0.000416,0.000416,0.000416
42,95.8222,0.41083,1.22115,0.83555,0.9998,1,0.995,0.86956,0.5185,1.24808,0.88879,0.0003764,0.0003764,0.0003764
43,97.2255,0.42486,1.2041,0.86805,1,0.99949,0.995,0.9039,0.49657,1.23534,0.87997,0.0003368,0.0003368,0.0003368
44,98.1212,0.39458,1.1919,0.84982,1,0.99886,0.995,0.88772,0.50205,1.27184,0.87607,0.0002972,0.0002972,0.0002972
45,98.9196,0.39342,1.1723,0.84679,1,0.99886,0.995,0.88772,0.50205,1.27184,0.87607,0.0002576,0.0002576,0.0002576
46,99.8769,0.39478,1.13531,0.81637,1,0.99796,0.995,0.9072,0.49416,1.30466,0.87337,0.000218,0.000218,0.000218
47,101.015,0.38634,1.17615,0.83514,1,0.99716,0.995,0.9072,0.48838,1.33142,0.87302,0.0001784,0.0001784,0.0001784
48,101.881,0.36168,1.12712,0.83673,1,0.99685,0.995,0.89648,0.47939,1.31372,0.87123,0.0001388,0.0001388,0.0001388
49,102.545,0.39064,1.20813,0.83198,1,0.99685,0.995,0.89648,0.47939,1.31372,0.87123,9.92e-05,9.92e-05,9.92e-05
50,103.411,0.33943,1.15685,0.80492,1,0.99796,0.995,0.89928,0.47628,1.28273,0.8709,5.96e-05,5.96e-05,5.96e-05
