epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.41689,1.05674,3.48464,1.17403,0.00333,1,0.01889,0.01423,0.92908,3.40227,1.15205,0.08911,0.00011,0.00011
2,3.6764,0.80178,2.89996,1.06633,0.00333,1,0.34758,0.18144,1.06246,3.54303,1.3084,0.0772299,0.000229944,0.000229944
3,4.97834,0.7909,2.06311,0.97334,0.00333,1,0.66578,0.47727,0.90322,3.3788,1.10137,0.0653497,0.000349658,0.000349658
4,6.51659,0.73764,1.72899,1.07159,0.00333,1,0.69097,0.47862,0.92447,3.41285,1.12702,0.053469,0.000468967,0.000468967
5,8.00083,0.82693,1.68371,1.11914,0.00333,1,0.88352,0.5828,0.94633,3.17865,1.15754,0.0415877,0.000587697,0.000587697
6,9.42864,0.86747,1.34542,1.10905,1,0.33277,0.80731,0.65517,0.7964,2.96451,1.04397,0.0297057,0.000705673,0.000705673
7,11.0482,0.7498,1.29971,0.99773,1,0.33277,0.80731,0.65517,0.7964,2.96451,1.04397,0.0178227,0.000822723,0.000822723
8,12.4601,0.83099,1.31265,1.05352,0.87965,0.56419,0.75061,0.58001,0.9862,2.56638,1.08758,0.00593867,0.000938675,0.000938675
9,13.9575,0.75355,1.20495,1.0179,0.48771,0.51389,0.55424,0.40763,0.98178,2.31401,1.03705,0.000984449,0.000984449,0.000984449
10,15.4482,0.85323,1.35228,1.02764,0.95008,0.53846,0.73307,0.52673,0.99412,2.18432,1.05052,0.000980345,0.000980345,0.000980345
11,16.8067,0.75775,1.22161,0.988,0.95008,0.53846,0.73307,0.52673,0.99412,2.18432,1.05052,0.000975773,0.000975773,0.000975773
12,18.2855,0.71066,1.43349,0.99993,0.86781,0.61538,0.84006,0.59727,1.00036,2.16057,1.05311,0.000970736,0.000970736,0.000970736
13,19.799,0.75389,1.35945,1.00438,0.9796,0.69231,0.88002,0.65878,0.92406,1.82487,1.0356,0.000965239,0.000965239,0.000965239
14,21.1405,0.72036,1.27385,0.9587,0.85776,1,0.96833,0.69516,0.8889,1.29597,1.11381,0.000959289,0.000959289,0.000959289
15,22.2629,0.78815,1.22229,1.01393,0.85776,1,0.96833,0.69516,0.8889,1.29597,1.11381,0.000952889,0.000952889,0.000952889
16,23.5,0.77065,1.21841,1.04905,0.99585,1,0.995,0.75715,0.89116,1.25751,1.14141,0.000946048,0.000946048,0.000946048
17,24.7334,0.64926,1.16588,0.946,0.97128,1,0.995,0.77761,0.83531,1.10291,1.06436,0.000938772,0.000938772,0.000938772
18,25.9581,0.71213,1.14413,0.9873,0.99366,1,0.995,0.82089,0.82679,1.07239,1.00883,0.000931067,0.000931067,0.000931067
19,27.2026,0.65386,1.0887,0.93564,0.99366,1,0.995,0.82089,0.82679,1.07239,1.00883,0.000922942,0.000922942,0.000922942
20,28.3712,0.62684,1.01645,0.93139,1,0.99793,0.995,0.81503,0.80564,1.12808,0.97811,0.000914405,0.000914405,0.000914405
21,29.5428,0.65601,1.06667,0.98112,1,0.99298,0.995,0.78765,0.79701,1.14334,0.98633,0.000905463,0.000905463,0.000905463
22,30.7649,0.7338,1.08703,1.01906,1,0.92202,0.99,0.79809,0.80238,1.14439,0.98095,0.000896127,0.000896127,0.000896127
23,31.9139,0.66972,1.06427,1.00396,1,0.92202,0.99,0.79809,0.80238,1.14439,0.98095,0.000886404,0.000886404,0.000886404
24,33.1148,0.73691,1.00001,1.06277,1,0.9861,0.995,0.79705,0.81233,1.07658,0.98595,0.000876305,0.000876305,0.000876305
25,34.3203,0.76053,1.0557,0.98282,0.9884,1,0.995,0.82281,0.78837,0.98658,0.98276,0.000865839,0.000865839,0.000865839
26,35.4961,0.64151,0.93186,0.92654,0.99474,1,0.995,0.82462,0.79846,0.95152,0.97195,0.000855018,0.000855018,0.000855018
27,36.6934,0.60352,0.87827,0.92221,0.99474,1,0.995,0.82462,0.79846,0.95152,0.97195,0.000843851,0.000843851,0.000843851
28,37.8757,0.64391,0.899,0.98074,0.99588,1,0.995,0.79403,0.7999,0.93309,0.96622,0.000832349,0.000832349,0.000832349
29,39.0319,0.62708,0.94051,0.94604,1,0.99783,0.995,0.77576,0.80154,1.00092,0.97243,0.000820525,0.000820525,0.000820525
30,40.1368,0.56368,0.83717,0.92424,0.92848,0.99874,0.99,0.80861,0.78654,1.01953,0.97748,0.000808389,0.000808389,0.000808389
31,41.2708,0.53981,0.90523,0.9118,0.92848,0.99874,0.99,0.80861,0.78654,1.01953,0.97748,0.000795954,0.000795954,0.000795954
32,42.3869,0.58382,0.9186,0.94156,0.92338,1,0.98429,0.81474,0.74559,0.99468,0.96504,0.000783231,0.000783231,0.000783231
33,43.4641,0.55563,1.11386,0.88137,0.91574,1,0.98429,0.82301,0.72105,1.02218,0.95814,0.000770234,0.000770234,0.000770234
34,44.6442,0.63767,0.91737,0.98136,0.92383,1,0.98429,0.82579,0.72233,0.99477,0.95703,0.000756976,0.000756976,0.000756976
35,45.7983,0.61833,0.85387,0.93788,0.92383,1,0.98429,0.82579,0.72233,0.99477,0.95703,0.000743468,0.000743468,0.000743468
36,46.9237,0.55794,0.90427,0.90941,1,0.99503,0.995,0.84198,0.71391,0.898,0.94881,0.000729725,0.000729725,0.000729725
37,48.1498,0.56351,0.81405,0.91719,1,0.99878,0.995,0.8309,0.68089,0.81509,0.93033,0.000715761,0.000715761,0.000715761
38,49.3356,0.50557,0.75998,0.89432,0.99838,1,0.995,0.83336,0.6987,0.78744,0.93645,0.000701588,0.000701588,0.000701588
39,50.5212,0.53462,0.8317,0.88735,0.99838,1,0.995,0.83336,0.6987,0.78744,0.93645,0.000687222,0.000687222,0.000687222
40,51.7112,0.50438,0.7627,0.87683,0.99763,1,0.995,0.8353,0.69627,0.74081,0.93423,0.000672675,0.000672675,0.000672675
41,52.9434,0.61871,0.90374,0.91654,0.99681,1,0.995,0.85352,0.67628,0.79314,0.92389,0.000657963,0.000657963,0.000657963
42,54.1686,0.53481,0.77725,0.91433,0.99699,1,0.995,0.87324,0.68061,0.77236,0.93077,0.000643101,0.000643101,0.000643101
43,55.2847,0.57021,0.84421,0.95642,0.99699,1,0.995,0.87324,0.68061,0.77236,0.93077,0.000628101,0.000628101,0.000628101
44,56.4125,0.64912,0.82018,1.02276,0.99679,1,0.995,0.84204,0.69696,0.77429,0.94241,0.000612981,0.000612981,0.000612981
45,57.6007,0.61399,0.79415,0.97598,0.99678,1,0.995,0.8473,0.69149,0.75031,0.93571,0.000597754,0.000597754,0.000597754
46,58.8253,0.54555,0.73835,0.93814,0.99707,1,0.995,0.84649,0.69376,0.78416,0.92635,0.000582435,0.000582435,0.000582435
47,59.9254,0.53029,0.70784,0.91299,0.99707,1,0.995,0.84649,0.69376,0.78416,0.92635,0.00056704,0.00056704,0.00056704
48,61.0206,0.56704,0.77628,0.94577,0.99687,1,0.995,0.82742,0.67771,0.78185,0.92113,0.000551584,0.000551584,0.000551584
49,62.1884,0.57265,0.74592,0.93903,0.99685,1,0.995,0.83203,0.65723,0.81908,0.91576,0.000536081,0.000536081,0.000536081
50,63.3956,0.59381,0.75777,0.9712,0.99641,1,0.995,0.82401,0.65497,0.86268,0.92118,0.000520548,0.000520548,0.000520548
51,64.5928,0.57008,0.7154,0.95452,0.99641,1,0.995,0.82401,0.65497,0.86268,0.92118,0.000505,0.000505,0.000505
52,65.8238,0.55398,0.78301,0.93323,0.99508,1,0.995,0.82175,0.64899,0.75847,0.92929,0.000489452,0.000489452,0.000489452
53,67.0086,0.48838,0.76367,0.88258,0.9952,1,0.995,0.83791,0.64795,0.72163,0.93079,0.000473919,0.000473919,0.000473919
54,68.2459,0.47859,0.68029,0.89959,0.99532,1,0.995,0.82454,0.62717,0.70138,0.93675,0.000458416,0.000458416,0.000458416
55,69.4725,0.47725,0.74012,0.92479,0.99532,1,0.995,0.82454,0.62717,0.70138,0.93675,0.00044296,0.00044296,0.00044296
56,70.7011,0.48271,0.68235,0.91518,0.99581,1,0.995,0.8283,0.64113,0.63375,0.9579,0.000427565,0.000427565,0.000427565
57,71.798,0.496,0.70039,0.92978,0.99604,1,0.995,0.85528,0.63456,0.6281,0.95789,0.000412246,0.000412246,0.000412246
58,73.0712,0.51061,0.66473,0.88674,0.99591,1,0.995,0.86179,0.63395,0.61662,0.95377,0.000397019,0.000397019,0.000397019
59,74.1612,0.50087,0.73328,0.89456,0.99591,1,0.995,0.86179,0.63395,0.61662,0.95377,0.000381899,0.000381899,0.000381899
60,75.4023,0.43267,0.64104,0.86503,0.9957,1,0.995,0.87257,0.61615,0.60118,0.93594,0.000366899,0.000366899,0.000366899
61,76.64,0.45664,0.64328,0.85609,0.99528,1,0.995,0.88221,0.58067,0.587,0.90301,0.000352037,0.000352037,0.000352037
62,77.7454,0.52174,0.90183,0.91494,0.99537,1,0.995,0.88179,0.54334,0.55772,0.8681,0.000337325,0.000337325,0.000337325
63,78.8914,0.45727,0.62839,0.89782,0.99537,1,0.995,0.88179,0.54334,0.55772,0.8681,0.000322778,0.000322778,0.000322778
64,80.1441,0.50732,0.66052,0.90268,0.99534,1,0.995,0.88363,0.53409,0.55502,0.86263,0.000308412,0.000308412,0.000308412
65,81.32,0.46142,0.62929,0.90163,0.9953,1,0.995,0.89942,0.53335,0.54418,0.8591,0.000294239,0.000294239,0.000294239
66,82.4859,0.49427,0.68013,0.88552,0.99523,1,0.995,0.88584,0.54959,0.5359,0.86233,0.000280275,0.000280275,0.000280275
67,83.6114,0.44723,0.64854,0.8589,0.99523,1,0.995,0.88584,0.54959,0.5359,0.86233,0.000266532,0.000266532,0.000266532
68,84.8215,0.51092,0.75128,0.94915,0.99543,1,0.995,0.89672,0.55809,0.54589,0.865,0.000253024,0.000253024,0.000253024
69,86.0141,0.42948,0.59304,0.89273,0.99522,1,0.995,0.88886,0.57487,0.56699,0.87514,0.000239766,0.000239766,0.000239766
70,87.1879,0.44766,0.66152,0.86017,0.99537,1,0.995,0.88486,0.59301,0.58549,0.87988,0.000226769,0.000226769,0.000226769
71,88.3914,0.43442,0.57296,0.89839,0.99537,1,0.995,0.88486,0.59301,0.58549,0.87988,0.000214046,0.000214046,0.000214046
72,89.5158,0.50115,0.69909,0.94003,0.99553,1,0.995,0.88486,0.60982,0.59039,0.88609,0.000201611,0.000201611,0.000201611
73,90.7471,0.4681,0.69215,0.92035,0.99567,1,0.995,0.8872,0.61352,0.58685,0.88589,0.000189475,0.000189475,0.000189475
74,91.9475,0.54902,0.74038,0.92087,0.99583,1,0.995,0.90543,0.61846,0.58054,0.88532,0.000177651,0.000177651,0.000177651
75,93.0144,0.54447,0.65758,0.92227,0.99583,1,0.995,0.90543,0.61846,0.58054,0.88532,0.000166149,0.000166149,0.000166149
76,94.249,0.516,0.64805,0.88008,0.99606,1,0.995,0.90543,0.61245,0.5732,0.8801,0.000154982,0.000154982,0.000154982
77,95.4138,0.42715,0.61849,0.92155,0.99603,1,0.995,0.90543,0.60291,0.57214,0.87436,0.000144161,0.000144161,0.000144161
78,96.5951,0.45952,0.65176,0.89895,0.99612,1,0.995,0.90583,0.58049,0.56952,0.86643,0.000133695,0.000133695,0.000133695
79,97.7974,0.46283,0.59636,0.90054,0.99612,1,0.995,0.90583,0.58049,0.56952,0.86643,0.000123596,0.000123596,0.000123596
80,99.0732,0.53505,0.66872,0.96346,0.99612,1,0.995,0.90908,0.56026,0.57663,0.85926,0.000113873,0.000113873,0.000113873
81,100.286,0.4375,0.6275,0.86613,0.99601,1,0.995,0.90908,0.54822,0.57234,0.85307,0.000104537,0.000104537,0.000104537
82,101.578,0.41504,0.60405,0.90444,0.99612,1,0.995,0.87108,0.54494,0.55091,0.85528,9.55951e-05,9.55951e-05,9.55951e-05
83,102.809,0.45705,0.59751,0.91779,0.99612,1,0.995,0.87108,0.54494,0.55091,0.85528,8.70577e-05,8.70577e-05,8.70577e-05
84,103.933,0.39855,0.60057,0.86293,0.9961,1,0.995,0.87118,0.54433,0.54885,0.85608,7.89327e-05,7.89327e-05,7.89327e-05
